"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"99年 1月","  3,118","      1","      1","    133","  1,270","  1,609","     82","      1","     21","  2,644","      -","      -","    119","  1,105","  1,332","     67","      1","     20","    474","      1","      1","     14","    165","    277","     15","      -","      1"
"99年 2月","  5,079","      8","      -","    236","  2,260","  2,407","    141","      3","     24","  4,349","      5","      -","    213","  1,979","  2,016","    116","      2","     18","    730","      3","      -","     23","    281","    391","     25","      1","      6"
"99年 3月","  4,448","      4","      -","    203","  1,932","  2,163","    115","      -","     31","  3,749","      1","      -","    182","  1,636","  1,800","    105","      -","     25","    699","      3","      -","     21","    296","    363","     10","      -","      6"
"99年 4月","  4,178","      3","      -","    188","  1,800","  2,046","    119","      -","     22","  3,547","      -","      -","    164","  1,555","  1,711","     98","      -","     19","    631","      3","      -","     24","    245","    335","     21","      -","      3"
"99年 5月","  4,290","      5","      -","    184","  1,768","  2,162","    127","      2","     42","  3,654","      4","      -","    161","  1,532","  1,814","    103","      2","     38","    636","      1","      -","     23","    236","    348","     24","      -","      4"
"99年 6月","  3,434","      4","      1","    122","  1,412","  1,761","    108","      3","     23","  2,925","      3","      1","    108","  1,228","  1,477","     88","      2","     18","    509","      1","      -","     14","    184","    284","     20","      1","      5"
"99年 7月","  5,170","      6","      -","    206","  2,211","  2,598","    129","      1","     19","  4,372","      5","      -","    176","  1,894","  2,169","    111","      1","     16","    798","      1","      -","     30","    317","    429","     18","      -","      3"
"99年 8月","  5,424","      5","      -","    230","  2,299","  2,701","    142","      5","     42","  4,602","      3","      -","    203","  1,978","  2,262","    123","      3","     30","    822","      2","      -","     27","    321","    439","     19","      2","     12"
"99年 9月","  4,339","      2","      2","    168","  1,936","  2,089","    124","      3","     15","  3,701","      2","      -","    146","  1,682","  1,753","    102","      3","     13","    638","      -","      2","     22","    254","    336","     22","      -","      2"
"99年 10月","  4,258","      2","      -","    196","  1,856","  2,074","    115","      3","     12","  3,651","      2","      -","    169","  1,627","  1,742","     98","      3","     10","    607","      -","      -","     27","    229","    332","     17","      -","      2"
"99年 11月","  4,344","      4","      -","    197","  1,871","  2,131","    134","      1","      6","  3,661","      2","      -","    165","  1,600","  1,780","    107","      1","      6","    683","      2","      -","     32","    271","    351","     27","      -","      -"
"99年 12月","  2,996","      -","      1","    140","  1,277","  1,465","    103","      1","      9","  2,546","      -","      1","    119","  1,111","  1,217","     88","      1","      9","    450","      -","      -","     21","    166","    248","     15","      -","      -"
"100年"," 48,875","     47","      3","  1,896"," 20,105"," 25,044","  1,418","     15","    347"," 41,453","     38","      1","  1,646"," 17,213"," 21,031","  1,211","     13","    300","  7,422","      9","      2","    250","  2,892","  4,013","    207","      2","     47"
