時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
105年 3月	 325 	 10 	0	 3 	0	 81 	 273 	 49 	 2 
105年 4月	 266 	 12 	 1 	 7 	 1 	 80 	 171 	 48 	 2 
105年 5月	 325 	 10 	 1 	 17 	0	 105 	 240 	 47 	 2 
105年 6月	 304 	 20 	 5 	 11 	0	 87 	 210 	 34 	 3 
105年 7月	 296 	 22 	 3 	 16 	 1 	 92 	 231 	 53 	 5 
105年 8月	 256 	 23 	 2 	 13 	0	 102 	 218 	 60 	 5 
105年 9月	 228 	 9 	 2 	 15 	0	 68 	 222 	 32 	 4 
105年 10月	 268 	 6 	0	 12 	0	 74 	 236 	 51 	 2 
105年 11月	 239 	 7 	 1 	 27 	0	 84 	 259 	 47 	 1 
105年 12月	 218 	 6 	0	 32 	0	 73 	 111 	 60 	 1 
